Frame ID,QR id,QR 2D,QR 3D
490,3,"[[801. 314.], [819. 316.], [818. 332.], [800. 330.]]","[2.8220200812613347, 20.980857382639215, -1.7861481835378095, 0]"
491,3,"[[802. 310.], [820. 312.], [819. 328.], [801. 326.]]","[2.822565287729711, 21.036430481831616, -2.0373387147480444, 0]"
492,3,"[[804. 302.], [822. 304.], [821. 320.], [802. 318.]]","[2.776350363352041, 21.133309716267945, -2.5396833076557153, 0]"
492,10,"[[ 17. 148.], [ 28. 150.], [ 26. 162.], [ 17. 160.]]","[4.359861388517052, -25.24716921337972, -12.021060348005197, 0]"
493,3,"[[803. 301.], [821. 303.], [820. 319.], [801. 317.]]","[2.7742572235721368, 21.0782447384083, -2.6023099866141477, 0]"
494,3,"[[798. 302.], [816. 304.], [815. 320.], [796. 318.]]","[2.7648216206654235, 20.80173906499735, -2.5390880108027933, 0]"
495,3,"[[792. 305.], [810. 306.], [809. 323.], [791. 321.]]","[2.822525863949874, 20.481231550689643, -2.3628462145864906, 0]"
496,3,"[[784. 303.], [803. 305.], [802. 321.], [784. 320.]]","[2.722096736633011, 20.076898690422865, -2.455737537776224, 0]"
497,3,"[[779. 301.], [797. 303.], [795. 320.], [777. 317.]]","[2.779474846459648, 19.72706412399566, -2.580846928254974, 0]"
498,3,"[[773. 300.], [791. 301.], [790. 318.], [771. 316.]]","[2.733700966064536, 19.404650123369663, -2.6772521385502346, 0]"
499,3,"[[771. 301.], [789. 303.], [787. 320.], [769. 317.]]","[2.7667537308633845, 19.276680364293554, -2.5799435943358917, 0]"
500,3,"[[770. 304.], [788. 305.], [787. 322.], [768. 320.]]","[2.7283908441681692, 19.234975100442682, -2.4261770998448724, 0]"
501,3,"[[768. 304.], [787. 306.], [785. 323.], [767. 321.]]","[2.6987395179028266, 19.149203617661016, -2.3758673450324452, 0]"
502,3,"[[766. 300.], [785. 302.], [783. 319.], [765. 316.]]","[2.674900778607425, 19.036287142048337, -2.641763942334989, 0]"
503,3,"[[761. 293.], [780. 294.], [779. 310.], [761. 309.]]","[2.7134308135118603, 18.782402441468008, -3.1265720651707114, 0]"
504,3,"[[755. 285.], [774. 287.], [773. 303.], [754. 301.]]","[2.6126159294979985, 18.428806074158445, -3.599599299506939, 0]"
505,3,"[[749. 284.], [768. 284.], [768. 301.], [749. 301.]]","[2.638510824366781, 18.114414248874482, -3.692083053341327, 0]"
506,3,"[[741. 283.], [760. 282.], [760. 300.], [741. 299.]]","[2.789527022670944, 17.656428965306816, -3.7835989832352834, 0]"
507,3,"[[735. 279.], [753. 280.], [752. 297.], [734. 296.]]","[2.7487026630160374, 17.2534469799688, -3.970559596885573, 0]"
508,3,"[[726. 276.], [744. 276.], [745. 293.], [726. 293.]]","[2.6531076813918757, 16.776746312017394, -4.188642109928706, 0]"
